shipment_id,order_id,cust_id,shipment_date,shipment_company,shipment_address,shipment_postcode,shipment_city,shipment_status
mpt5711315429,19710422,gkab56dt596,2023-06-22,Kelly PLC,"Studio 1
Clayton ridge",LU3 9ND,Luton,Delivered
uwf6196803520,56586401,zhac02rd895,2021-09-03,"Evans, Hawkins and Smith","Studio 38
Abigail terrace",AL5 3nan,St Albans,Cancelled
mjc6805199214,33290807,unkz46ug554,2021-12-14,Middleton Ltd,49 Turner ports,KA19 7JF,South Ayrshire,Cancelled
kwp0891203415,22838962,htdh42io696,2019-01-31,Fisher-McDonald,"Studio 69C
Evans neck",CH2 3PT,Cheshire West and Chester,In Transit
gdh0966116988,70659976,tbkl20yp323,2023-05-03,"Hamilton, Kirby and Harvey","Flat 38Q
Ward rest",HU11 5BD,East Riding of Yorkshire,Pending
mcb9871536948,17183641,unkz46ug554,2021-08-22,Brown-Hamilton,49 Turner ports,KA19 7JF,South Ayrshire,Cancelled
scb2693729544,67844399,tkpw04jb846,2023-02-09,"Thompson, Marshall and Ross","Studio 5
Oliver row",CM7 2ZB,Braintree,In Transit
rvd1398160515,69550589,tkpw04jb846,2023-02-13,Kaur-King,"Studio 5
Oliver row",CM7 2ZB,Braintree,Cancelled
ijs0849585519,54340867,krhb93ai768,2023-09-01,Gardner-Pearce,"Flat 41
Rebecca passage",SY11 1BX,Shropshire,Cancelled
xgm4526517628,40779350,vqjd84nx309,2021-09-11,"Taylor, Fowler and Daniels",31 Gillian burgs,N11 3TR,Enfield,Delivered
flp7632598794,37490279,bofq23xp782,2019-11-23,Parsons PLC,"Flat 20A
Richards fall",SY7 8GN,Shropshire,Delivered
vue5303819810,44953245,mgdx98lu616,2022-06-17,Birch-Davies,"Flat 59
Sian ports",PR2 5WD,Preston,Cancelled
erz9092271958,43276631,htdh42io696,2023-07-28,"Baker, Mills and Jackson","Studio 69C
Evans neck",CH2 3PT,Cheshire West and Chester,Delivered
ogi3800213722,41969076,zhac02rd895,2022-07-14,Wright-Johnson,"Studio 38
Abigail terrace",AL5 3nan,St Albans,Pending
mnh8910949439,54115579,zndx79dv595,2023-05-08,Smith LLC,30 Abigail shoals,UB3 1BU,Hillingdon,Delivered
lwj2519161228,65751989,knqn03cl323,2021-01-09,"Price, Andrews and Ellis","Flat 13f
Thomas loaf",HP19 9TY,Aylesbury Vale,Delivered
usb1322485993,53243155,ormw26jh773,2019-03-01,Davey-Wright,"Flat 7
Phillips fields",BS9 4WZ,Bristol,Cancelled
ijx5644777611,86933674,krhb93ai768,2022-10-26,Murray-Archer,"Flat 41
Rebecca passage",SY11 1BX,Shropshire,Cancelled
wem1308911651,54565381,iiyk27fi635,2022-11-23,"Johnson, Bradley and Day",391 Derek manors,NG17 1PP,Ashfield,Pending
pzg6738067347,20661283,msit86sd799,2023-10-05,Harding-Smith,8 Gavin cliff,N7 9GE,Islington,Delivered
